theme,run_number,card_drawn,error,card_cleaned
work,1,隱士,,隱者
work,2,皇帝。,,皇帝
work,3,命運之輪,,命運之輪
work,4,隱士,,隱者
work,5,隱士,,隱者
work,6,皇帝,,皇帝
work,7,皇帝。,,皇帝
work,8,命運之輪,,命運之輪
work,9,審判,,審判
work,10,力量,,力量
work,11,正義,,正義
work,12,命運之輪,,命運之輪
work,13,隱士,,隱者
work,14,命運之輪,,命運之輪
work,15,命運之輪,,命運之輪
work,16,力量,,力量
work,17,力量,,力量
work,18,塔羅牌：隱者,,隱者
work,19,命運之輪,,命運之輪
work,20,命運之輪,,命運之輪
work,21,命運之輪,,命運之輪
work,22,「隱者」,,隱者
work,23,隱士,,隱者
work,24,隱士,,隱者
work,25,隱者,,隱者
work,26,命運之輪,,命運之輪
work,27,正義,,正義
work,28,隱士,,隱者
work,29,吊人,,倒吊人
work,30,命運之輪,,命運之輪
work,31,皇后,,皇后
work,32,隱者,,隱者
work,33,命運之輪,,命運之輪
work,34,隱者,,隱者
work,35,隱士,,隱者
work,36,命運之輪,,命運之輪
work,37,命運之輪,,命運之輪
work,38,教皇 (The Hierophant),,教皇
work,39,力量,,力量
work,40,命運之輪,,命運之輪
work,41,命運之輪,,命運之輪
work,42,教皇,,教皇
work,43,命運之輪,,命運之輪
work,44,隱士,,隱者
work,45,戰車。,,戰車
work,46,倒吊人,,倒吊人
work,47,皇后。,,皇后
work,48,節制,,節制
work,49,隱士,,隱者
work,50,命運之輪,,命運之輪
work,51,戀人,,戀人
work,52,隱士,,隱者
work,53,命運之輪,,命運之輪
work,54,命運之輪,,命運之輪
work,55,命運之輪,,命運之輪
work,56,命運之輪,,命運之輪
work,57,教皇,,教皇
work,58,命運之輪,,命運之輪
work,59,隱士,,隱者
work,60,命運之輪,,命運之輪
work,61,隱士,,隱者
work,62,命運之輪,,命運之輪
work,63,命運之輪,,命運之輪
work,64,塔之牌,,塔
work,65,命運之輪,,命運之輪
work,66,命運之輪,,命運之輪
work,67,隱士,,隱者
work,68,戰車,,戰車
work,69,力量,,力量
work,70,戰車,,戰車
work,71,隱者,,隱者
work,72,隋者 (The Fool),,愚者
work,73,愚者,,愚者
work,74,皇后,,皇后
work,75,隱士,,隱者
work,76,隱者,,隱者
work,77,隱者,,隱者
work,78,節制,,節制
work,79,命運之輪,,命運之輪
work,80,隱者,,隱者
work,81,女祭司,,女祭司
work,82,隱士,,隱者
work,83,塔牌導師,,塔
work,84,隱者,,隱者
work,85,審判,,審判
work,86,命運之輪,,命運之輪
work,87,節制。,,節制
work,88,命運之輪,,命運之輪
work,89,命運之輪,,命運之輪
work,90,隱者,,隱者
work,91,命運之輪,,命運之輪
work,92,命運之輪,,命運之輪
work,93,力量,,力量
work,94,命運之輪,,命運之輪
work,95,隱者,,隱者
work,96,命運之輪,,命運之輪
work,97,皇帝,,皇帝
work,98,世界,,世界
work,99,命運之輪,,命運之輪
work,100,隱者,,隱者
work,101,皇后,,皇后
work,102,愚者,,愚者
work,103,命運之輪,,命運之輪
work,104,隱士,,隱者
work,105,節制,,節制
work,106,隱者,,隱者
work,107,正義,,正義
work,108,命運之輪。,,命運之輪
work,109,戰車,,戰車
work,110,世界,,世界
work,111,隱者,,隱者
work,112,皇帝,,皇帝
work,113,隱士,,隱者
work,114,隱者,,隱者
work,115,隱士,,隱者
work,116,命運之輪,,命運之輪
work,117,命運之輪,,命運之輪
work,118,命運之輪,,命運之輪
work,119,隱士,,隱者
work,120,隱士,,隱者
work,121,力量,,力量
work,122,女皇。,,皇后
work,123,命運之輪,,命運之輪
work,124,命運之輪,,命運之輪
work,125,力量,,力量
work,126,愚者,,愚者
work,127,命運之輪,,命運之輪
work,128,皇帝,,皇帝
work,129,命運之輪,,命運之輪
work,130,命運之輪,,命運之輪
work,131,命運之輪,,命運之輪
work,132,「戀人」,,戀人
work,133,塔羅牌：世界,,世界
work,134,命運之輪,,命運之輪
work,135,隱士,,隱者
work,136,女祭司,,女祭司
work,137,節制,,節制
work,138,命運之輪,,命運之輪
work,139,命運之輪,,命運之輪
